solution, training, test, reduction, time
1110, 0.9866666666666667, 0.92, 0.25, 0.926718
1001, 0.9733333333333334, 0.9333333333333333, 0.5, 0.917984
0110, 0.9466666666666667, 0.96, 0.5, 0.945019
0001, 0.9866666666666667, 0.9333333333333333, 0.75, 0.92883
1001, 0.9466666666666667, 0.9733333333333334, 0.5, 0.923332
1110, 0.9866666666666667, 0.9066666666666666, 0.25, 0.907545
1011, 0.9733333333333334, 0.9466666666666667, 0.25, 0.939382
1111, 0.9733333333333334, 0.9333333333333333, 0.0, 0.973082
0001, 0.9466666666666667, 0.9733333333333334, 0.75, 0.924135
1001, 0.9733333333333334, 0.9466666666666667, 0.5, 0.956745
