solution, training, test, reduction, time
1101, 0.92, 0.9333333333333333, 0.25, 0.007552
1001, 0.96, 0.96, 0.5, 0.008095
0011, 0.96, 0.9333333333333333, 0.5, 0.007304
1110, 0.96, 0.9333333333333333, 0.25, 0.00864
0111, 0.92, 0.9466666666666667, 0.25, 0.0042
0110, 0.96, 0.9333333333333333, 0.5, 0.004048
1111, 0.96, 0.9066666666666666, 0.0, 0.003345
1011, 0.9466666666666667, 0.9466666666666667, 0.25, 0.003627
0011, 0.96, 0.9333333333333333, 0.5, 0.008174
1010, 0.96, 0.9333333333333333, 0.5, 0.003853
