solution, training, test, reduction, time
0111, 0.9733333333333334, 0.88, 0.25, 0.246858801
1010, 0.9733333333333334, 0.9333333333333333, 0.5, 0.32375201
1011, 0.9733333333333334, 0.9333333333333333, 0.25, 0.245474735
1101, 0.96, 0.92, 0.25, 0.247081617
1001, 0.96, 0.96, 0.5, 0.329791442
1110, 0.9733333333333334, 0.9466666666666667, 0.25, 0.246405224
1011, 0.9866666666666667, 0.8933333333333333, 0.25, 0.246003181
0010, 0.96, 0.96, 0.75, 0.324133907
1001, 0.9733333333333334, 0.9466666666666667, 0.5, 0.3262019
1010, 0.9733333333333334, 0.9066666666666666, 0.5, 0.326041746
