solution, training, test, reduction, time
0001, 0.96, 0.96, 0.75, 0.004959
0010, 0.9866666666666667, 0.9333333333333333, 0.75, 0.00493
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.004681
0001, 0.9466666666666667, 0.9733333333333334, 0.75, 0.004382
0010, 0.96, 0.9333333333333333, 0.75, 0.004481
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.003956
0101, 0.9866666666666667, 0.92, 0.5, 0.007687
0011, 0.9466666666666667, 0.9466666666666667, 0.5, 0.007935
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.004577
0010, 0.96, 0.9333333333333333, 0.75, 0.004629
