solution, training, test, reduction, time
0001, 0.96, 0.96, 0.75, 0.24633364
0010, 0.9866666666666667, 0.9333333333333333, 0.75, 0.245097983
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.2466792
0001, 0.9466666666666667, 0.9733333333333334, 0.75, 0.24685096
0010, 0.96, 0.9333333333333333, 0.75, 0.24540462
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.247965271
0101, 0.9866666666666667, 0.92, 0.5, 0.327675857
0011, 0.9466666666666667, 0.9466666666666667, 0.5, 0.327149189
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 0.245420228
0010, 0.96, 0.9333333333333333, 0.75, 0.243838686
