solution, training, test, reduction, time
1101, 0.9866666666666667, 0.92, 0.25, 5.525257
1010, 0.9733333333333334, 0.9333333333333333, 0.5, 6.067854
0011, 0.9733333333333334, 0.9333333333333333, 0.5, 5.623387
1110, 0.9733333333333334, 0.9066666666666666, 0.25, 5.528527
0001, 0.96, 0.96, 0.75, 5.434003
0010, 0.9733333333333334, 0.9333333333333333, 0.75, 5.534809
1001, 0.9866666666666667, 0.9333333333333333, 0.5, 5.944172
1010, 0.96, 0.96, 0.5, 5.667722
0001, 0.9733333333333334, 0.9466666666666667, 0.75, 6.124022
1010, 0.9733333333333334, 0.9066666666666666, 0.5, 5.318695
