solution, training, test, reduction, time
0110, 0.96, 0.96, 0.5, 82.059317464
1001, 1.0, 0.92, 0.5, 82.023503309
0111, 0.9866666666666667, 0.9333333333333333, 0.25, 82.015916525
1110, 0.9733333333333334, 0.92, 0.25, 82.049358256
0110, 0.9733333333333334, 0.9333333333333333, 0.5, 82.058500367
1001, 0.9866666666666667, 0.9066666666666666, 0.5, 82.026294471
1110, 0.9733333333333334, 0.9333333333333333, 0.25, 82.024291578
1001, 0.9466666666666667, 0.9733333333333334, 0.5, 82.142127836
0011, 1.0, 0.88, 0.5, 82.038742375
1010, 0.92, 0.9866666666666667, 0.5, 82.035807135
