solution, training, test, reduction, time
001000010000100000000000010000100000000000000000000110010000000100000000011000000000000010, 0.7444444444444445, 0.7055555555555556, 0.8666666666666667, 149.857138
111000000000100000001101000100000011000000000000000000001000010000000000001100000000000000, 0.7555555555555555, 0.6944444444444444, 0.8444444444444444, 138.810039
101010000001100000010110000001110000000101000000000010000000000001000000000000000010000011, 0.7555555555555555, 0.7166666666666667, 0.8, 149.719253
100100001010100000000000010000001110000011000000000100001100000000100000000000001000011010, 0.8, 0.65, 0.7888888888888889, 144.140822
000100000010000000000011011100010000000000001000100100000000000100000000000000000000110000, 0.7555555555555555, 0.6833333333333333, 0.8444444444444444, 132.787345
000000011000001010000000010000100001100000100000100000000001100010000001000001000010010010, 0.7722222222222223, 0.6055555555555555, 0.8, 143.286791
100000000010000000000000000101001000000000000000000000010010000000000001000001001000000110, 0.7722222222222223, 0.6722222222222223, 0.8666666666666667, 177.638496
100100000010100000000100000101100000000101000000100000000100000001000010000100101000000010, 0.7722222222222223, 0.6444444444444445, 0.8, 149.365997
001000100000000100000000100000110010000000000100010000100001000000000001000010000001001000, 0.75, 0.6444444444444445, 0.8333333333333334, 166.813134
100010100000010000100000000110000101000000000000010000001100000000000000000001000000000000, 0.7444444444444445, 0.6222222222222222, 0.8555555555555555, 133.620094
