solution, training, test, reduction, time
101000000000000010111111100001, 0.9894736842105263, 0.9507042253521126, 0.6333333333333333, 117.480016623
000010000001000000000110001100, 0.9823943661971831, 0.9368421052631579, 0.8, 101.289116575
010000110000100010000110000000, 0.9859649122807017, 0.926056338028169, 0.7666666666666667, 105.211101714
011000000000000000001001100010, 0.971830985915493, 0.9614035087719298, 0.8, 102.542809296
000000001000010100011111001000, 0.9859649122807017, 0.9577464788732394, 0.7, 111.381996906
010100000001000000001010111000, 0.9823943661971831, 0.9719298245614035, 0.7333333333333333, 117.561605076
010000000000100000101000101101, 0.9929824561403509, 0.9471830985915493, 0.7333333333333333, 103.767000019
000000100000000110000101001000, 0.9788732394366197, 0.9473684210526315, 0.8, 97.163478236
000000100000000000011111100000, 0.9789473684210527, 0.9577464788732394, 0.7666666666666667, 104.775295266
010100000000000000011100000110, 0.9894366197183099, 0.9543859649122807, 0.7666666666666667, 112.762872716
